,Zillow URL,Address,Price,Latitude,Longitude,Zestimate,Year Built,Garage,Beds,Baths,Sqft
106,https://www.zillow.com/homedetails/818-N-Ash-St-6-Denver-CO-80220/2071239384_zpid/,"818 N Ash St #6, Denver, CO 80220",1250000.00,39.72959518,-104.9381104,,2020,2,3,5,2585
107,https://www.zillow.com/homedetails/11875-Garfield-St-Thornton-CO-80233/12958986_zpid/,"11875 Garfield St, Thornton, CO 80233",295000.00,39.91130066,-104.9424362,"$330,087 ",1972,0,2,2,1226
108,https://www.zillow.com/homedetails/431-Bannock-St-Denver-CO-80204/2071933564_zpid/,"431 Bannock St, Denver, CO 80204",299999.00,39.716077,-104.98345,"$308,742 ",1886,0,1,1,487
109,https://www.zillow.com/homedetails/2943-S-Macon-St-Aurora-CO-80014/13057191_zpid/,"2943 S Macon St, Aurora, CO 80014",549000.00,39.66337585,-104.8564606,"$534,409 ",1971,2,4,4,2926
110,https://www.zillow.com/homedetails/1435-Wabash-St-Denver-CO-80220/13388621_zpid/,"1435 Wabash St, Denver, CO 80220",373269.00,39.7393837,-104.8896942,"$420,884 ",1948,1,3,1,1253
111,https://www.zillow.com/homedetails/2300-S-Espana-St-Aurora-CO-80013/13076335_zpid/,"2300 S Espana St, Aurora, CO 80013",510000.00,39.645374,-104.80143,"$464,057 ",1998,3,5,4,2500
112,https://www.zillow.com/homedetails/3766-W-Union-Ave-Denver-CO-80236/13428215_zpid/,"3766 W Union Ave, Denver, CO 80236",549000.00,39.63158035,-105.0380707,"$411,918 ",1990,2,3,2,1600
113,https://www.zillow.com/homedetails/1483-S-Vine-St-Denver-CO-80210/13370025_zpid/,"1483 S Vine St, Denver, CO 80210",2350000.00,39.716077,-104.98345,"$2,438,091 ",2019,3,5,5,4920
114,https://www.zillow.com/homedetails/14275-Shadow-Wood-Ct-Brighton-CO-80603/95277068_zpid/,"14275 Shadow Wood Ct, Brighton, CO 80603",699900.00,39.95448685,-104.6151733,"$834,116 ",2015,3,3,2,1867
115,https://www.zillow.com/homedetails/1874-Ridgecrest-Way-Highlands-Ranch-CO-80129/67449873_zpid/,"1874 Ridgecrest Way, Highlands Ranch, CO 80129",1690000.00,39.52297211,-105.0112686,,2005,3,4,6,6629
116,https://www.zillow.com/homedetails/4845-Gibraltar-St-Denver-CO-80249/58682800_zpid/,"4845 Gibraltar St, Denver, CO 80249",400000.00,39.78451157,-104.7587051,"$426,191 ",2002,2,3,3,1845
117,https://www.zillow.com/homedetails/2923-S-Vrain-St-Denver-CO-80236/13384518_zpid/,"2923 S Vrain St, Denver, CO 80236",540000.00,39.66176987,-105.0474777,"$529,285 ",1956,1,6,2,2294
118,https://www.zillow.com/homedetails/3275-W-Hawthorne-Pl-Denver-CO-80221/13024056_zpid/,"3275 W Hawthorne Pl, Denver, CO 80221",350000.00,39.81397629,-105.0291519,"$405,528 ",1940,0,,,1514
119,https://www.zillow.com/homedetails/4189-S-Fraser-Cir-APT-C-Aurora-CO-80014/13102424_zpid/,"4189 S Fraser Cir APT C, Aurora, CO 80014",374995.00,39.6403923,-104.8142319,"$357,303 ",1983,2,2,4,1700
120,https://www.zillow.com/homedetails/6203-Depew-St-Arvada-CO-80003/13728197_zpid/,"6203 Depew St, Arvada, CO 80003",550000.00,39.81729,-105.099184,"$505,956 ",1976,2,4,3,1936
121,https://www.zillow.com/homedetails/2985-Albion-St-Denver-CO-80207/13283533_zpid/,"2985 Albion St, Denver, CO 80207",915000.00,39.75986099,-104.9397049,"$860,705 ",1941,2,4,3,2341
122,https://www.zillow.com/homedetails/5274-S-Jericho-St-Centennial-CO-80015/13112785_zpid/,"5274 S Jericho St, Centennial, CO 80015",429900.00,39.62104416,-104.7490616,"$464,384 ",1996,2,3,3,1529
123,https://www.zillow.com/homedetails/451-Sunrise-Dr-Golden-CO-80401/13754151_zpid/,"451 Sunrise Dr, Golden, CO 80401",1025000.00,39.702413,-105.254867,"$1,115,954 ",1990,3,6,4,3835
124,https://www.zillow.com/homedetails/10-Sunset-Dr-Englewood-CO-80113/99608211_zpid/,"10 Sunset Dr, Englewood, CO 80113",4600000.00,39.64905167,-104.9632034,"$6,169,873 ",1959,2,,,7345
